"","MISSION_DATE","TGT_LATITUDE_WGS84","TGT_LONGITUDE_WGS84","CALCULATED_BOMBLOAD_LBS"
"559","7/3/51",38.38892,126.46961,1000
"560","7/3/51",38.38892,126.46961,1000
"561","7/3/51",38.38892,126.46961,1000
"562","7/3/51",38.38892,126.46961,1000
"563","7/3/51",38.38017,126.48136,5000
"566","7/3/51",38.36724,128.03845,10000
"567","7/3/51",38.36724,128.03845,10000
"569","7/4/51",38.0242,125.72282,2900
"570","7/4/51",37.92263,125.42332,2900
"571","7/4/51",38.0242,125.72282,11500
"572","7/4/51",37.92263,125.42332,11500
"573","7/4/51",39.83209,127.64438,20200
"574","7/4/51",39.83209,127.64438,80600
"575","7/4/51",38.41022,126.21694,8000
"576","7/4/51",38.48886,127.58966,5000
"577","7/4/51",38.33156,128.08468,13500
"578","7/4/51",38.48886,127.58966,18000
"581","7/5/51",39.83195,127.6327,2900
"582","7/5/51",39.83195,127.6327,11500
"583","7/5/51",38.2458,126.98875,14400
"589","7/5/51",38.46251,127.64749,2000
"590","7/5/51",38.7379,128.19458,2000
"591","7/5/51",38.7379,128.19458,17500
"592","7/5/51",38.46251,127.64749,18000
"593","7/6/51",39.43032,127.24556,26000
"594","7/6/51",39.43032,127.24556,103600
"595","7/6/51",38.38206,127.05367,20000
"596","7/6/51",38.38033,127.55743,20000
"600","7/7/51",38.39562,126.80141,500
"601","7/7/51",38.39562,126.80141,4000
"602","7/7/51",40.02463,127.96871,8000
"603","7/7/51",38.2403,127.94871,500
"604","7/7/51",38.4617,127.57873,1000
"605","7/7/51",38.45269,127.57891,1000
"607","7/7/51",38.4735,127.83069,2000
"609","7/7/51",38.29761,126.86154,2000
"610","7/7/51",38.2884,126.85038,2000
"611","7/7/51",38.22759,126.97783,2000
"612","7/7/51",38.39056,127.66028,2000
"613","7/7/51",38.2974,126.85011,2000
"616","7/7/51",38.2403,127.94871,4500
"617","7/7/51",38.4617,127.57873,9000
"618","7/7/51",38.45269,127.57891,9000
"621","7/7/51",38.4735,127.83069,18000
"623","7/7/51",38.29761,126.86154,18000
"624","7/7/51",38.2884,126.85038,18000
"625","7/7/51",38.22759,126.97783,18000
"626","7/7/51",38.39056,127.66028,18000
"627","7/7/51",38.2974,126.85011,18000
"633","7/8/51",39.11472,127.9821,2900
"634","7/8/51",39.41542,125.93877,8300
"635","7/8/51",40.1717,128.37754,11300
"636","7/8/51",39.11472,127.9821,11500
"637","7/8/51",39.19631,125.68648,17000
"638","7/8/51",39.41542,125.93877,33400
"639","7/8/51",40.1717,128.37754,45400
"640","7/8/51",39.19631,125.68648,68000
"641","7/8/51",38.28642,128.07382,5000
"642","7/8/51",38.30416,128.03928,5000
"643","7/8/51",38.3311,128.02748,10000
"644","7/8/51",38.29944,126.9644,10000
"645","7/8/51",38.30865,126.97558,10000
"648","7/9/51",39.53249,125.55979,14400
"649","7/9/51",39.53249,125.55979,57400
"650","7/9/51",38.815,125.40722,1000
"651","7/9/51",38.815,125.40722,1000
"652","7/9/51",38.815,125.40722,1000
"653","7/9/51",38.815,125.40722,1000
"654","7/9/51",38.815,125.40722,2000
"655","7/9/51",38.815,125.40722,2000
"656","7/9/51",38.41811,127.70559,10000
"657","7/9/51",38.25421,126.95423,10000
"658","7/9/51",38.28556,127.97092,20000
"659","7/9/51",38.30023,127.01012,20000
"660","7/9/51",38.46238,127.63603,20000
"661","7/9/51",39.83209,127.64438,69000
"662","7/10/51",38.69621,127.5971,8000
"663","7/10/51",38.41594,127.52236,500
"664","7/10/51",38.37146,127.56905,500
"665","7/10/51",38.16314,126.89972,500
"666","7/10/51",38.18095,126.88779,500
"667","7/10/51",38.30368,127.9821,500
"668","7/10/51",38.28566,127.98235,500
"669","7/10/51",38.29884,126.93011,500
"670","7/10/51",38.27142,126.90803,500
"671","7/10/51",38.28566,127.98235,500
"672","7/10/51",38.28651,128.08525,500
"673","7/10/51",38.41824,127.71704,1000
"674","7/10/51",38.30023,127.01012,1000
"675","7/10/51",38.34922,128.03868,1000
"676","7/10/51",38.29944,126.9644,1000
"677","7/10/51",38.16334,126.91112,1000
"678","7/10/51",38.23956,127.86873,1500
"679","7/10/51",38.28882,126.87323,2000
"680","7/10/51",38.18095,126.88779,4000
"681","7/10/51",38.28566,127.98235,4000
"682","7/10/51",38.41594,127.52236,4500
"683","7/10/51",38.37146,127.56905,4500
"684","7/10/51",38.16314,126.89972,4500
"685","7/10/51",38.29884,126.93011,4500
"686","7/10/51",38.27142,126.90803,4500
"687","7/10/51",38.28566,127.98235,4500
"688","7/10/51",38.28651,128.08525,4500
"689","7/10/51",38.30368,127.9821,5000
"690","7/10/51",38.41824,127.71704,9000
"691","7/10/51",38.34922,128.03868,9000
